4.47,14430,3036,39496,31544
4.48,14446,3020,39560,31480
4.49,14494,2972,39680,31360
4.5,14496,2970,39688,31352
4.51,14514,2952,39736,31304
4.52,14540,2926,39808,31232
4.53,14584,2882,39936,31104
4.54,14588,2878,39936,31104
4.55,14606,2860,39992,31048
4.56,14628,2838,40048,30992
4.57,14660,2806,40144,30896
4.58,14670,2796,40184,30856
4.59,14682,2784,40216,30824
4.6,14706,2760,40272,30768
4.61,14728,2738,40328,30712
4.62,14748,2718,40376,30664
4.63,14752,2714,40392,30648
4.64,14772,2694,40440,30600
4.65,14782,2684,40440,30600
4.66,14786,2680,40448,30592
4.67,14830,2636,40576,30464
4.68,14848,2618,40632,30408
4.69,14870,2596,40688,30352
4.7,14894,2572,40760,30280
4.71,14908,2558,40792,30248
4.72,14926,2540,40856,30184
4.73,14926,2540,40872,30168
4.74,14952,2514,40920,30120
4.75,14962,2504,40944,30096
4.76,14964,2502,40952,30088
4.77,14976,2490,40984,30056
4.78,14978,2488,41008,30032
4.79,14994,2472,41040,30000
4.8,15008,2458,41064,29976
4.81,15034,2432,41152,29888
4.82,15052,2414,41224,29816
4.83,15068,2398,41272,29768
4.84,15082,2384,41312,29728
4.85,15092,2374,41352,29688
4.86,15096,2370,41360,29680
4.87,15110,2356,41408,29632
4.88,15130,2336,41464,29576
4.89,15144,2322,41504,29536
4.9,15166,2300,41560,29480
4.91,15200,2266,41656,29384
4.92,15208,2258,41664,29376
4.93,15220,2246,41688,29352
4.94,15232,2234,41712,29328
4.95,15258,2208,41760,29280
4.96,15274,2192,41816,29224
4.97,15292,2174,41864,29176
4.98,15296,2170,41896,29144
4.99,15308,2158,41920,29120
5,15314,2152,41928,29112
5.01,15322,2144,41960,29080
5.02,15334,2132,41984,29056
5.03,15360,2106,42056,28984
5.04,15368,2098,42080,28960
5.05,15386,2080,42144,28896
5.06,15396,2070,42176,28864
5.07,15422,2044,42256,28784
5.08,15438,2028,42312,28728
5.09,15448,2018,42352,28688
5.1,15474,1992,42432,28608
5.11,15488,1978,42464,28576
5.12,15516,1950,42544,28496
5.13,15524,1942,42568,28472
5.14,15550,1916,42648,28392
5.15,15562,1904,42672,28368
5.16,15566,1900,42680,28360
5.17,15584,1882,42760,28280
5.18,15602,1864,42832,28208
5.19,15648,1818,42952,28088
5.2,15660,1806,42984,28056
5.21,15686,1780,43064,27976
5.22,15702,1764,43120,27920
5.23,15724,1742,43168,27872
5.24,15730,1736,43200,27840
5.25,15744,1722,43224,27816
5.26,15758,1708,43264,27776
5.27,15758,1708,43264,27776
5.28,15760,1706,43288,27752
5.29,15782,1684,43336,27704
5.3,15798,1668,43392,27648
5.31,15812,1654,43448,27592
5.32,15826,1640,43488,27552
5.33,15828,1638,43504,27536
5.34,15838,1628,43544,27496
5.35,15840,1626,43560,27480
5.36,15854,1612,43592,27448
5.37,15860,1606,43624,27416
5.38,15870,1596,43656,27384
5.39,15878,1588,43704,27336
5.4,15898,1568,43760,27280
5.41,15918,1548,43808,27232
